"","Anexo","cod_orgao","nom_orgao","mes","ano","pg_mes","lim_sq_sd","pg_sd","cred_sd","a_liq_sd","liq_a_pg_sd","nome_orgao","lim_pag"
"118","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",9,"2019",72116.49148,246770.67868,632046.49958,117859.89379,527102.98456,37525.87041,"Ministério da Infraestrutura",1352193
"119","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",10,"2019",102769.9418,207775.1873,734816.44138,86279.9105999999,454664.33334,34780.34238,"Ministério da Infraestrutura",1525551
"120","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",11,"2019",70550.5711799999,297205.84098,805367.01256,169495.02968,423766.40195,45630.03654,"Ministério da Infraestrutura",1698910
"121","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",12,"2019",118806.55403,571625.83562,924173.56659,51697.10205,101403.71533,32521.84697,"Ministério da Infraestrutura",1872268
"122","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",2,"2019",20855.13489,14104.93179,38102.22097,481217.51658,179650.54346,5741.74649,"Ministério do Meio Ambiente",64657
"123","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",3,"2019",30291.089,10257.69386,68393.30997,456498.64823,160403.70335,10336.14458,"Ministério do Meio Ambiente",96986
"124","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",4,"2019",36727.62536,10757.55733,105120.93533,222813.58926,233516.76211,6415.31531,"Ministério do Meio Ambiente",150867
"125","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",5,"2019",32752.14682,7938.10414,137873.08215,183412.78544,243122.33882,8536.42281,"Ministério do Meio Ambiente",204748
"126","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",6,"2019",29936.76423,12266.09816,167809.84638,164250.88469,232062.84358,10677.62381,"Ministério do Meio Ambiente",258629
"127","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",7,"2019",30006.36371,16879.16463,197816.21009,134235.03986,222149.31385,10685.06943,"Ministério do Meio Ambiente",312510
"128","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",8,"2019",31422.18805,21276.54251,229238.39814,93116.30972,187337.57547,12974.64665,"Ministério do Meio Ambiente",366392
"129","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",9,"2019",36948.6576,30435.04713,266187.05574,69087.05094,173693.99481,10527.68887,"Ministério do Meio Ambiente",420273
"130","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",10,"2019",40645.43931,22776.90686,306832.49505,86148.82953,162975.17498,8797.28687,"Ministério do Meio Ambiente",474154
"131","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",11,"2019",41609.54708,20266.69542,348442.04213,105942.88709,133157.86758,10238.37981,"Ministério do Meio Ambiente",528035
"132","Anexo II","44000","MINISTERIO DO MEIO AMBIENTE",12,"2019",80402.25367,21289.48332,428844.2958,116725.94118,45488.50817,8733.67993,"Ministério do Meio Ambiente",581916
"133","Anexo II","52000","MINISTERIO DA DEFESA",2,"2019",300342.99798315,642602.65848,505203.52806569,2091395.00201858,2444430.45430363,772778.64111108,"Ministério da Defesa",763519
"134","Anexo II","52000","MINISTERIO DA DEFESA",3,"2019",363594.679663942,429310.77998,868798.207729632,2140614.76131334,2176789.98134021,769612.53435,"Ministério da Defesa",1145278
"135","Anexo II","52000","MINISTERIO DA DEFESA",4,"2019",388886.171384991,476072.87061,1257684.37911462,1894909.18961523,2594190.59760311,590526.59888,"Ministério da Defesa",1781544
